full_name,title,company,segment,est_annual_revenue,revenue_source,employee_count,hq_location,ownership,linkedin_url,persona_type,fit_score,personalization_hooks,notes,date_added
Sal Gala,"Senior Vice President, Procurement",Perdue Farms,meat & poultry,"$8-10B","EBSCO/GlobalData profiles 2024-25; industry reports","~21,000 (Poultry Producer 2020; approx)","Salisbury, MD","Private, family-owned (Perdue family)",not found,Procurement,5,"Appointed SVP Procurement Sept 12 2025 (new in seat, mandate to strengthen supplier partnerships); reports to CSC&OO Gregg Uecker; CEO Kevin McAdams since Jan 2024 (leadership refresh)","Prior procurement/supply chain leadership at McCormick, Mars, Goodyear; title verified via Perdue press release + MEAT+POULTRY Sept 2025",2026-06-11
Gregg Uecker,Chief Supply Chain & Operations Officer,Perdue Farms,meat & poultry,"$8-10B","EBSCO/GlobalData profiles 2024-25; industry reports","~21,000 (approx)","Salisbury, MD","Private, family-owned (Perdue family)",not found,Supply Chain,5,"Built out procurement org with 3 SVP hires Sept 2025; CEO Kevin McAdams since Jan 2024","Title confirmed in Perdue Sept 2025 press release (named as exec the new SVP Procurement reports to)",2026-06-11
Aaron Leach,Chief Commercial and Supply Chain Officer,Wayne-Sanderson Farms,meat & poultry,"$7B+","Food Business News at JV completion July 2022; company describes itself as 3rd-largest vertically integrated US poultry producer","~26,000 across 24 facilities (company PR)","Oakwood, GA","JV of Cargill + Continental Grain (since July 2022; $4.5B Sanderson acquisition)",not found,Supply Chain,5,"Promoted to CCSCO effective April 1 2026; Kevin McDaniel became president/CEO April 1 2025; ongoing Wayne Farms + Sanderson Farms integration","At company since 2005; previously SVP Supply Chain & GM Prepared Foods; finance background (Director Financial Planning); verified via PRNewswire + National Provisioner + MEAT+POULTRY April 2026",2026-06-11
Barry Gum,Chief Financial Officer,"Butterball, LLC",meat & poultry,"est. $2B+ (exact unverified)","Processed ~1B lbs turkey in 2025 (WATTPoultry); Seaboard Corp 10-K reports JV equity income; exact revenue not published","~6,000 (directory estimates, approx)","Garner, NC","Private JV: Seaboard Corp 52.5% non-controlling + Maxwell Farms (Goldsboro NC)",https://www.linkedin.com/in/barry-gum-54a3959/,Finance,4,"Butterball Q2 FY2025 income roughly half of prior year (WATTPoultry mid-2025) = margin pressure; Q1 FY2026 Seaboard earned $24M from Butterball (early 2026 rebound); turkey category volatility","CFO since ~April 2013; ex-PwC; title via live LinkedIn profile + The Org/Comparably directories - no 2024-26 press confirmation, flag for manual check",2026-06-11
James Richards,Chief Financial Officer,Foster Farms,meat & poultry,"~$3B","Atlas Holdings acquisition press release June 2022","~10,000 (Atlas Holdings PR 2022)","Livingston, CA","PE-backed: Atlas Holdings (acquired June 7 2022)",https://www.linkedin.com/in/jamesdrichards765/,Finance,4,"PE ownership (Atlas Holdings) = EBITDA/cost focus; appointed CFO March 2024 alongside new CEO Jayson Penn (ex-Pilgrim's Pride); leadership rebuild since acquisition","Ex-GE (22 yrs senior finance/ops roles), ex-CEO Kodi Collective; appointment verified via Feedstuffs/WATTPoultry March 2024; LinkedIn still lists Foster Farms - last press confirmation ~27 months old, FLAG recency",2026-06-11
Scot Youmans,Chief Financial Officer,Johnsonville LLC,meat & poultry,"est. ~$1.1B (exact unverified)","RocketReach/industry estimates; private company","~3,000 (directory estimates, approx)","Sheboygan Falls, WI","Private, family-owned (Stayer family)",https://www.linkedin.com/in/scotyoumans/,Finance,4,"CFO since Jan 2024 after predecessor Don Fussner (CFO/COO) became CEO Jan 2024; company recruiting a Chief Supply Chain Officer (careers posting live 2025-26) = supply chain leadership in flux","Internal promote, ~10 yrs at Johnsonville (VP Finance & Corp Dev, Intl Finance Director); ex-Caterpillar/Bucyrus; title via LinkedIn + ZoomInfo + The Org directories - flag for manual confirmation",2026-06-11
Derek Mackey,"Vice President, Finance",Land O'Frost,meat & poultry (deli/lunchmeat),"unverified (est. ~$500M; >$100M highly likely)","Owler/D&B estimates; company claims largest privately held sliced lunchmeat brand, 4 plants","~1,000-1,200 (directory estimates, approx)","Lansing, IL","Private, family-owned 3rd generation (Van Eekeren family; CEO David Van Eekeren)",https://www.linkedin.com/in/derek-mackey-2910123a,Finance,3,"Appointed VP Finance Nov 2025 alongside new CCO Saverio Spontella - stated mandate: financial discipline + operational excellence","Prior: Kellogg's, Mars-Wrigley, Purpose Built Brands, 15Five; verified via National Provisioner + MEAT+POULTRY + Supermarket Perimeter Nov 2025; revenue needs manual verification",2026-06-11
Brad Hamilton,Vice President Supply Chain & Logistics,Seaboard Foods,meat & poultry (pork),"$2.0B pork segment (FY2025)","Seaboard Corp 10-K: pork segment net sales $2,018M FY2025 / $2,055M FY2024","~5,000+ (directory estimates, approx)","Shawnee Mission (Mission), KS","Subsidiary of Seaboard Corporation (NYSE American: SEB), public",https://www.linkedin.com/in/brad-hamilton-a81bb23/,Supply Chain,3,"Chad Groves promoted to president/CEO July 1 2024; Sept 11 2025 acquired 3 hog farms (57,000 hog spaces) feeding Guymon OK plant; 2025 tariff + pork margin headwinds (National Hog Farmer)","Title via live LinkedIn + ZoomInfo/RocketReach; last strong dated confirmation is a 2022 AgTC conference deck - FLAG recency, confirm before outreach",2026-06-11
Robert (Bob) N. Carl,Chief Financial Officer,Clemens Food Group,meat & poultry (pork),"~$2.5B","Family Business Magazine / Forbes-derived profiles 2024-26","~5,700 (Family Business Magazine)","Hatfield, PA","Private, family-owned 6th generation (Clemens Family Corporation)",not found,Finance,4,"Feb 2026 senior leadership transitions announced - COO Chris Carey to become president as CEO retires; acquired Kunzler & Co (Lancaster PA) May 2024; 5th-largest US fresh pork processor","Title via Equilar/ZoomInfo/company leadership page (page exists but blocked to fetch) - directory-sourced, flag for manual confirmation on LinkedIn/leadership page",2026-06-11
Dave Cowperthwait,"EVP, Chief Supply Chain Officer",Rich Products,prepared foods / frozen bakery & appetizers,"$5.8B (2023-24)",trade press (Food Business News; company statements),unverified,"Buffalo, NY",family-owned (Rich family),https://www.linkedin.com/in/davidcowperthwait,Supply Chain,5,"Acquired Great Kitchens Food Co. (private-label take & bake pizza; Uno Foods) from Brynwood Partners Jan 26 2026; $117M Brownsville TX plant expansion phase 2 completed ~Jul 2025; Rich Products Ventures active investor (Ripple Foods 2025)","Joined Rich's 2017 from McCain Foods/Kellogg's; title confirmed on live richs.com leader page (2026); ZoomInfo concurs",2026-06-11
